Country,State,City,Station,Last Update,Latitude,Longitude,Pollutant Id,Pollutant Min,Pollutant Max,Pollutant Avg
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",27-11-2025 18:00,22.5367507,88.3638022,PM10,66,227,141
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",27-11-2025 18:00,22.5367507,88.3638022,CO,2,131,16
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",27-11-2025 18:00,22.58157048,88.41002457,PM2.5,45,319,173
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",27-11-2025 18:00,22.58157048,88.41002457,CO,58,114,70
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",27-11-2025 18:00,22.55664,88.342674,PM10,79,176,140
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",27-11-2025 18:00,22.55664,88.342674,NH3,9,11,9
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",27-11-2025 18:00,22.49929,88.36917,SO2,4,6,5
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",27-11-2025 18:00,22.627847,88.380669,PM10,64,140,116
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",27-11-2025 18:00,26.6879226,88.4152495,NH3,11,11,11
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",27-11-2025 18:00,16.536107,80.594233,CO,28,39,34
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",27-11-2025 18:00,16.509717,80.612222,CO,26,46,32
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",27-11-2025 18:00,16.554731,80.64911,PM10,29,54,36
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",27-11-2025 18:00,16.554731,80.64911,OZONE,56,96,70
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",27-11-2025 18:00,17.72,83.3,PM10,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",27-11-2025 18:00,17.72,83.3,NH3,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27-11-2025 18:00,27.103358,93.679645,NO2,6,6,6
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",27-11-2025 18:00,25.7808257,84.7446768,CO,8,35,8
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",27-11-2025 18:00,25.7808257,84.7446768,OZONE,25,121,28
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",27-11-2025 18:00,24.7955,84.9994,NO2,9,9,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",27-11-2025 18:00,24.7955,84.9994,OZONE,19,21,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",27-11-2025 18:00,24.792403,84.992416,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",27-11-2025 18:00,24.792403,84.992416,NO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",27-11-2025 18:00,24.792403,84.992416,CO,38,40,39
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",27-11-2025 18:00,24.762518,84.982348,NO2,19,22,21
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",27-11-2025 18:00,24.762518,84.982348,SO2,8,10,9
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27-11-2025 18:00,16.9872867,81.7363176,NO2,20,46,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27-11-2025 18:00,16.9872867,81.7363176,CO,31,54,39
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",27-11-2025 18:00,13.67,79.35,SO2,4,7,6
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",27-11-2025 18:00,13.615387,79.40923,SO2,7,13,11
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",27-11-2025 18:00,13.615387,79.40923,CO,20,36,28
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",27-11-2025 18:00,16.536107,80.594233,PM2.5,64,92,78
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",27-11-2025 18:00,16.536107,80.594233,PM10,64,101,82
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",27-11-2025 18:00,25.697189,85.2459,OZONE,10,112,80
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",27-11-2025 18:00,25.560083,87.553265,PM10,14,124,85
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",27-11-2025 18:00,26.0881305,87.93840336,OZONE,12,19,16
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27-11-2025 18:00,27.308328,84.531742,PM2.5,25,327,75
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",27-11-2025 18:00,26.63086,84.90051,PM2.5,17,220,97
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",27-11-2025 18:00,26.146529,87.454184,NO2,1,22,11
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",27-11-2025 18:00,25.5626095,84.663264,PM2.5,47,305,155
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",27-11-2025 18:00,25.5626095,84.663264,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",27-11-2025 18:00,24.75746,84.366208,SO2,10,18,12
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",27-11-2025 18:00,25.42742023,86.13886079,OZONE,7,25,14
India,Assam,Guwahati,"IITG, Guwahati - PCBA",27-11-2025 18:00,26.2028636,91.70046436,PM10,48,136,104
India,Assam,Guwahati,"IITG, Guwahati - PCBA",27-11-2025 18:00,26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",27-11-2025 18:00,26.181742,91.78063,CO,24,78,31
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",27-11-2025 18:00,26.349082,92.68449,PM2.5,62,65,62
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",27-11-2025 18:00,26.446912,91.439057,CO,18,27,22
India,Assam,Silchar,"Tarapur, Silchar - PCBA",27-11-2025 18:00,24.82827,92.79525,NO2,17,20,19
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",27-11-2025 18:00,26.987634,94.636574,NO2,20,35,25
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",27-11-2025 18:00,26.80365,84.51954,OZONE,22,23,23
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",27-11-2025 18:00,25.265194,87.012947,NO2,6,9,8
